0MEFAC03084812011033100120110228001201103319780022777                                                 
1201103310311100550022777PT503016160   DIRECTOR MEIOS E PROJECTOS              301                    
2A     Ligaá∆o Central                                                                                
5E 9 1 MCLN520110309001000001000000000000                                                             
5E 9 1 MCLN520110309001000001000000000000                                                             
5E 9 1 MCLN520110309001000001000000000000                                                             
5E 9 1 MCLN520110309001000001000000000000                                                             
5E 9 1 MCLN520110309001000001000000000000                                                             
5E 9 1 MCLN520110309001000001000000000000                                                             
5E 9 1 MCLN520110309001000001000000000000                                                             
5E 9 1 MCLN520110309001000001000000000000                                                             
5E 9 1 MCLN520110309001000001000000000000                                                             
5E 9 1 MCLN520110309001000001000000000000                                                             
5E 9 1 MCLN520110309001000001000000000000                                                             
5E 9 1 MCLN520110309001000001000000000000                                                             
5E 9 1 MCLN520110309001000001000000000000                                                             
5E 9 1 MCLN520110309001000001000000000000                                                             
5E 9 1 MCLN520110310001000001000000000000                                                             
5E 9 1 MCLN520110310001000001000000000000                                                             
5E 9 1 MCLN520110310001000001000000000000                                                             
5E 9 1 MCLN520110310001000001000000000000                                                             
5E 9 1 MCLN520110310001000001000000000000                                                             
5E 9 1 MCLN520110310001000001000000000000                                                             
5E 9 1 MCLN520110310001000001000000000000                                                             
5E 9 1 MCLN520110310001000001000000000000                                                             
5E 9 1 MCLN520110310001000001000000000000                                                             
5E 9 1 MCLN520110310001000001000000000000                                                             
5E 9 1 MCLN520110310001000001000000000000                                                             
5E 9 1 MCLN520110310001000001000000000000                                                             
5E 9 1 MCLN520110311001000001000000000000                                                             
5E 9 1 MCLN520110311001000001000000000000                                                             
5E 9 1 MCLN520110311001000001000000000000                                                             
5E 9 1 MCLN520110311001000001000000000000                                                             
5E 9 1 MCLN520110311001000001000000000000                                                             
5E 9 1 MCLN520110311001000001000000000000                                                             
5E 9 1 MCLN520110311001000001000000000000                                                             
5E 9 1 MCLN520110311001000001000000000000                                                             
5E 9 1 MCLN520110311001000001000000000000                                                             
5E 9 1 MCLN520110311001000001000000000000                                                             
5E 9 1 MCLN520110311001000001000000000000                                                             
5E 9 1 MCLN520110311001000001000000000000                                                             
5E 9 1 MCLN520110311001000001000000000000                                                             
5E 9 1 MCLN520110311001000001000000000000                                                             
5E 9 1 MCLN520110311001000001000000000000                                                             
5E 9 1 MCLN520110311001000001000000000000                                                             
5E 9 1 MCLN520110311001000001000000000000                                                             
5E 9 1 MCLN520110311001000001000000000000                                                             
5E 9 1 MCLN520110311001000001000000000000                                                             
5E 9 1 MCLN520110311001000001000000000000                                                             
5E 9 1 MCLN520110311001000001000000000000                                                             
5E 9 1 MCLN520110311001000001000000000000                                                             
5E 9 1 MCLN520110314001000001000000000000                                                             
5E 9 1 MCLN520110314001000001000000000000                                                             
5E 9 1 MCLN520110314001000001000000000000                                                             
5E 9 1 MCLN520110314001000001000000000000                                                             
5E 9 1 MCLN520110314001000001000000000000                                                             
5E 9 1 MCLN520110314001000001000000000000                                                             
5E 9 1 MCLN520110314001000001000000000000                                                             
5E 9 1 MCLN520110314001000001000000000000                                                             
5E 9 1 MCLN520110314001000001000000000000                                                             
5E 9 1 MCLN520110314001000001000000000000                                                             
5E 9 1 MCLN520110314001000001000000000000                                                             
5E 9 1 MCLN520110314001000001000000000000                                                             
5E 9 1 MCLN520110314001000001000000000000                                                             
5E 9 1 MCLN520110314001000001000000000000                                                             
5E 9 1 MCLN520110314001000001000000000000                                                             
5E 9 1 MCLN520110314001000001000000000000                                                             
5E 9 1 MCLN520110315001000001000000000000                                                             
5E 9 1 MCLN520110315001000001000000000000                                                             
5E 9 1 MCLN520110315001000001000000000000                                                             
5E 9 1 MCLN520110315001000001000000000000                                                             
5E 9 1 MCLN520110315001000001000000000000                                                             
5E 9 1 MCLN520110315001000001000000000000                                                             
5E 9 1 MCLN520110315001000001000000000000                                                             
5E 9 1 MCLN520110315001000001000000000000                                                             
5E 9 1 MCLN520110315001000001000000000000                                                             
5E 9 1 MCLN520110315001000001000000000000                                                             
5E 9 1 MCLN520110315001000001000000000000                                                             
5E 9 1 MCLN520110315001000001000000000000                                                             
5E 9 1 MCLN520110315001000001000000000000                                                             
5E 9 1 MCLN520110315001000001000000000000                                                             
5E 9 1 MCLN520110315001000001000000000000                                                             
5E 9 1 MCLN520110315001000001000000000000                                                             
5E 9 1 MCLN520110316001000001000000000000                                                             
5E 9 1 MCLN520110316001000001000000000000                                                             
5E 9 1 MCLN520110316001000001000000000000                                                             
5E 9 1 MCLN520110316001000001000000000000                                                             
5E 9 1 MCLN520110316001000001000000000000                                                             
5E 9 1 MCLN520110316001000001000000000000                                                             
5E 9 1 MCLN520110316001000001000000000000                                                             
5E 9 1 MCLN520110316001000001000000000000                                                             
5E 9 1 MCLN520110316001000001000000000000                                                             
5E 9 1 MCLN520110316001000001000000000000                                                             
5E 9 1 MCLN520110316001000001000000000000                                                             
5E 9 1 MCLN520110316001000001000000000000                                                             
5E 9 1 MCLN520110316001000001000000000000                                                             
5E 9 1 MCLN520110316001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110317001000001000000000000                                                             
5E 9 1 MCLN520110318001000001000000000000                                                             
5E 9 1 MCLN520110318001000001000000000000                                                             
5E 9 1 MCLN520110318001000001000000000000                                                             
5E 9 1 MCLN520110318001000001000000000000                                                             
5E 9 1 MCLN520110318001000001000000000000                                                             
